City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
256,iberia,US,29.95,-91.75,73.4,46,1,19.46,clear sky
257,dubbo,AU,-32.25,148.62,62.6,59,0,12.75,clear sky
258,khatanga,RU,71.97,102.5,3.81,93,100,6.62,overcast clouds
259,maceio,BR,-9.67,-35.74,78.8,78,0,8.05,clear sky
260,iqaluit,CA,63.75,-68.51,12.2,78,75,5.82,broken clouds
261,filadelfia,US,39.95,-75.16,55.0,93,100,11.03,overcast clouds
262,torbay,CA,47.67,-52.73,39.0,74,20,11.41,few clouds
263,lokosovo,RU,61.13,74.82,31.19,97,99,12.59,overcast clouds
264,fort-shevchenko,KZ,44.51,50.26,61.5,33,26,8.21,scattered clouds
265,hirara,JP,24.8,125.28,71.6,83,75,6.93,broken clouds
266,pastavy,BY,55.12,26.83,37.96,95,0,5.28,clear sky
267,kodinsk,RU,58.69,99.18,24.8,97,100,9.51,snow
268,avera,US,33.19,-82.53,68.0,64,1,6.93,clear sky
269,alvand,IR,36.32,49.17,48.94,40,0,3.89,clear sky
270,black diamond,US,47.31,-122.0,62.01,64,0,2.44,clear sky
271,nanortalik,GL,60.14,-45.24,31.41,86,0,34.14,clear sky
272,benalla,AU,-36.55,145.98,61.0,87,100,6.42,overcast clouds
273,xingcheng,CN,40.62,120.72,40.71,53,81,7.47,broken clouds
274,taitung,TW,22.76,121.14,73.33,73,100,10.54,overcast clouds
275,mnogovershinnyy,RU,53.94,139.92,33.1,97,99,1.34,overcast clouds
276,troitsko-pechorsk,RU,62.71,56.2,24.3,97,49,5.99,scattered clouds
277,karasuk,RU,53.74,78.04,37.4,79,100,8.25,overcast clouds
278,lukang,TW,24.06,120.44,71.01,93,20,2.24,few clouds
279,santa isabel do rio negro,BR,-0.41,-65.02,76.26,85,40,3.44,scattered clouds
280,darnah,LY,32.77,22.64,69.51,62,52,11.45,broken clouds
281,nianzishan,CN,47.52,122.88,25.12,80,50,10.18,scattered clouds
282,gravdal,NO,68.12,13.5,50.0,71,75,18.34,light rain
283,georgetown,MY,5.41,100.34,78.8,88,40,3.36,scattered clouds
284,taltal,CL,-25.4,-70.48,63.18,61,23,6.2,few clouds
285,yeppoon,AU,-23.13,150.73,77.0,78,40,5.82,scattered clouds
286,sur,OM,22.57,59.53,69.66,40,0,4.32,clear sky
287,myitkyina,MM,25.38,97.4,69.19,97,99,2.24,light rain
288,egvekinot,RU,66.32,-179.17,10.62,90,32,2.71,scattered clouds
289,boa vista,BR,2.82,-60.67,82.4,69,75,12.75,broken clouds
290,makakilo city,US,21.35,-158.09,82.4,61,75,9.17,broken clouds
291,pevek,RU,69.7,170.31,15.62,92,100,11.59,overcast clouds
292,cap malheureux,MU,-19.98,57.61,66.99,69,46,1.01,scattered clouds
293,tarakan,ID,3.3,117.63,76.35,88,100,6.64,heavy intensity rain
294,inuvik,CA,68.35,-133.72,8.6,84,95,1.12,overcast clouds
295,oytal,KZ,42.91,73.27,47.84,41,83,2.77,broken clouds
296,vila franca do campo,PT,37.72,-25.43,62.6,82,75,25.28,broken clouds
297,flin flon,CA,54.77,-101.86,37.4,69,75,9.17,broken clouds
298,linqiong,CN,30.42,103.46,59.0,93,60,1.16,broken clouds
299,port macquarie,AU,-31.43,152.92,66.0,76,99,3.0,overcast clouds
300,kirakira,SB,-10.45,161.92,85.1,67,80,8.12,light rain
301,zaozerne,UA,45.16,33.28,54.37,78,97,11.32,light rain
302,fortuna,US,40.6,-124.16,63.0,63,1,11.41,clear sky
303,mopipi,BW,-21.18,24.88,75.78,51,42,18.37,scattered clouds
304,garowe,SO,8.41,48.48,75.79,58,0,11.34,clear sky
305,gigmoto,PH,13.78,124.39,79.27,82,99,5.61,light rain
306,havelock,US,34.88,-76.9,68.0,88,90,13.87,overcast clouds
307,otukpo,NG,7.19,8.13,75.34,88,100,4.9,overcast clouds
308,tezpur,IN,26.63,92.8,69.35,96,98,3.33,overcast clouds
